Id,Time
1390,1
1391,1
1281,1
1464,1
725,1
438,1
85,1
889,1
893,1
282,1
737,1
886,1
1188,1
1190,1
570,1
567,1
1068,1
864,1
866,1
686,1
385,1
386,1
382,1
750,1
223,1
1320,1
377,1
381,1
1373,1
143,1
493,1
1125,1
1126,1
1369,1
150,1
1338,1
1118,1
986,1
989,1
1012,1
1200,1
1216,1
1212,1
424,1
422,1
1114,1
1111,1
1170,1
1064,1
1063,1
1040,1
1041,1
1108,1
1109,1
1456,1
1452,1
1453,1
602,1
842,1
844,1
226,1
631,1
816,1
911,1
904,1
1421,1
75,1
289,1
1290,1
1286,1
1058,1
1184,1
1313,1
955,1
1229,1
1230,1
595,1
980,1
498,1
279,1
1291,1
64,1
772,1
826,1
1209,1
365,1
256,1
257,1
253,1
204,1
139,1
1048,1
1050,1
935,1
1055,1
773,1
25,1
740,1
742,1
1377,1
1378,1
1374,1
326,1
65,1
68,1
760,1
758,1
852,1
853,1
1150,1
1324,1
1325,1
1081,1
1083,1
995,1
996,1
98,1
100,1
1014,1
1015,1
394,1
1101,1
939,1
115,1
667,1
768,1
769,1
765,1
16,1
1408,1
1410,1
332,1
37,1
39,1
1155,1
1157,1
1158,1
993,1
990,1
314,1
310,1
1017,1
396,1
1315,1
1316,1
1319,1
8,1
10,1
11,1
568,1
1282,1
19,1
1465,1
722,1
723,1
112,1
729,1
733,1
449,1
445,1
446,1
437,1
561,1
562,1
897,1
547,1
551,1
689,1
687,1
205,1
206,1
1265,1
1294,1
